Player,Att,Yds,Int,SackYards,OldQBR,TOTALQBR
Matt Ryan,534,4944,7,294,117.1,79.6
Tom Brady,432,3554,2,129,112.2,79.4
Dak Prescott,459,3667,4,154,104.9,77.6
Aaron Rodgers,610,4428,7,325,104.2,72.4
Drew Brees,673,5208,15,184,101.7,66.8
Kirk Cousins,606,4917,12,190,97.2,66.5
Andrew Luck,545,4240,13,268,96.4,65.9
Matthew Stafford,594,4327,10,239,93.3,65.2
Tyrod Taylor,436,3023,6,192,89.7,62.4
Alex Smith,489,3502,8,146,91.2,60.8
Ben Roethlisberger,509,3819,13,156,95.4,60.5
Jameis Winston,567,4090,18,239,86.1,59.5
Marcus Mariota,451,3426,9,156,95.6,59.1
Philip Rivers,578,4386,21,188,87.9,58.7
Russell Wilson,546,4219,11,324,92.6,57.1
Derek Carr,560,3937,6,79,96.7,56.1
Sam Bradford,552,3877,5,276,99.3,53.1
Carson Palmer,597,4233,14,281,87.2,52.9
Joe Flacco,672,4317,15,243,83.5,52.5
Andy Dalton,563,4206,8,264,91.8,52.3
Trevor Siemian,486,3401,10,187,84.6,49.7
Brock Osweiler,510,2957,16,223,72.2,49.3
Colin Kaepernick,331,2241,4,207,90.7,49.2
Ryan Tannehill,389,2995,12,216,93.5,48.6
Cam Newton,510,3509,14,277,75.8,47.1
Carson Wentz,607,3782,14,213,79.3,46.7
Eli Manning,598,4027,16,146,86,45.7
Blake Bortles,625,3905,16,197,78.8,43
Ryan Fitzpatrick,403,2710,17,81,69.6,39.2
Case Keenum,322,2201,11,140,76.4,37.5
